,Určovatel,&,Pouzdro,&,Množství,&,Určení,\\\hline
,T3,&,Transformer_Toroid_horizontal_Diameter12-5mm_Amidon-T44,&,1,&,TR11,\\\hline
,"T1,T2",&,Transformer_Toroid_horizontal_Diameter12-5mm_Amidon-T44,&,2,&,TRXTOY,\\\hline
,C1,&,Elko_vert_11x5mm_RM2.5,&,1,&,10u/50v,\\\hline
,"C2,C5",&,C_0805,&,2,&,100p,\\\hline
,"C3,C6",&,CT-6-50p,&,2,&,6-50p,\\\hline
,C4,&,C_0805,&,1,&,4p7,\\\hline
,"C7,C8,C9,C10,C11",&,C_0805,&,5,&,100n,\\\hline
,P1,&,BNC_Socket_TYCO-AMP_LargePads,&,1,&,ANT,\\\hline
,P2,&,vasch_strip_3x2_90,&,1,&,MLW6,\\\hline
,P3,&,sma_90_r300.124.403,&,1,&,LNA_OUT,\\\hline
,Q1,&,OldSowjetaera_Transistor_Type-II_BigPads,&,1,&,KF630D,\\\hline
,R1,&,R_1206,&,1,&,560R,\\\hline
,R2,&,R_1206,&,1,&,500R,\\\hline
,R3,&,R_1206,&,1,&,4R7,\\\hline
,R4,&,R_1206,&,1,&,12R,\\\hline
,R5,&,R_1206,&,1,&,3k3,\\\hline
,"M1,M2,M3,M4",&,M3,&,4,&,M3,\\\specialrule{1pt}{0pt}{0pt} 
