,Určovatel,&,Pouzdro,&,Množství,&,Určení,\\hline
,C1,&,Elko_vert_11x5mm_RM2.5_CopperClear,&,1,&,100u/10V,\\hline
,"C2,C3",&,C_0805,&,2,&,18p,\\hline
,"C4,C5",&,C_0805,&,2,&,100n,\\hline
,"C6,C7,C8",&,C_0805,&,3,&,10n,\\hline
,CON1,&,vasch_strip_5x2,&,1,&,ISP-10,\\hline
,IC1,&,TQFP-32_7x7mm_Pitch0.8mm,&,1,&,ATMEGA8-AI,\\hline
,P1,&,vasch_strip_3x2_90,&,1,&,MLW6,\\hline
,P2,&,vasch_strip_5x2_90,&,1,&,MLW10,\\hline
,R1,&,R_1206,&,1,&,10k,\\hline
,RV1,&,Potentiometer_Trimmer-Suntan-TSR-3386P,&,1,&,10k,\\hline
,Y1,&,Crystal_HC49-SD_SMD,&,1,&,11.592MHz,\\hline
,P5,&,pin_socket_3,&,1,&,napajeni,\\hline
,P6,&,pin_socket_3,&,1,&,config,\\hline
,P7,&,pin_socket_8,&,1,&,data,\\hline
,P8,&,pin_socket_2,&,1,&,podsvit,\\hline
,P4,&,pin_strip_3,&,1,&,ENCODER,\\hline
,P3,&,pin_strip_3,&,1,&,USART,\\hline
,SW1,&,pin_strip_2,&,1,&,SW_PUSH,\\hline
,R2,&,Resistor_Vertical_RM7.5mm,&,1,&,220R,\\hline
,"M1,M2,M3,M4",&,M3,&,4,&,M3,\\\specialrule{1pt}{0pt}{0pt} 
